127.0.0.1 - - [21/Jan/2022:09:01:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:01:08 +0900] "GET /web-project-08/jsp_jstl/01_allMember.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:01:11 +0900] "GET /web-project-08/jsp_jstl/02_addMemberForm.jsp HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:44:39 +0900] "GET /web-project-08/readFromStudent/02_addStudentForm.jsp HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:44:51 +0900] "POST /web-project-08/readFromStudent/02_addStudent.jsp HTTP/1.1" 500 2494
0:0:0:0:0:0:0:1 - - [21/Jan/2022:09:46:30 +0900] "GET /web-project-08/readFromStudent/02_addStudent.jsp HTTP/1.1" 500 2494
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:04:48 +0900] "GET /web-project-08/readFromStudent/02_addStudent.jsp HTTP/1.1" 500 2494
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:06:11 +0900] "GET /web-project-08/readFromStudent/02_addStudentForm.jsp HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:06:16 +0900] "POST /web-project-08/readFromStudent/02_addStudent.jsp HTTP/1.1" 500 2494
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:10:08 +0900] "GET /web-project-08/readFromStudent/02_addStudent.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:10:11 +0900] "GET /web-project-08/readFromStudent/01_student.jsp HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:11:45 +0900] "GET /web-project-08/readFromStudent/02_addStudentForm.jsp HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:11:58 +0900] "POST /web-project-08/readFromStudent/02_addStudent.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:12:03 +0900] "GET /web-project-08/readFromStudent/01_student.jsp HTTP/1.1" 200 791
